Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
METAX SOFTWARE PTE. LTD. (Exchange),Colombia,cain (part 1),100320,tt2364258,tvSeries,"Crime,Drama,Mystery",B,,Not Available,serie,imdb,cain,,
iion Pty Ltd,Argentina,melody,100160,tt25437934,tvSeries,"Comedy,Drama,Musical",B,,Not Available,serie,imdb,melody,,
OTTera.tv,Colombia,notorious,100080,tt5519574,tvSeries,"Drama,Thriller",B,,Not Available,serie,imdb,notorious,,
Televisa Univision via SpringServe,Mexico,made in cartagena,99200,tt2381284,tvSeries,"Action,Comedy,Drama",A,,Not Available,serie,imdb,made in cartagena,,
TCL ADs (APAC),Mexico,sadie season 2,99200,tt0019344,movie,Drama,D,,Not Available,serie,titulo,sadie,2,
TCL ADs (APAC),Mexico,miliki family season 1,97920,tt31734423,tvSeries,"Animation,Family,Musical",A,,Not Available,serie,titulo,miliki family,1,
OTTera.tv,Peru,um anjo na terra,96800,tt0086730,tvSeries,"Drama,Fantasy",B,,Not Available,serie,imdb,um anjo na terra,,
Select Plus PTE LTD (CTV),Costa Rica,just us,95680,tt0305713,tvSeries,Family,B,,Not Available,serie,imdb,just us,,
OTTera.tv,Mexico,tiny town season 1,95680,tt13967790,tvSeries,"Adventure,Animation,Comedy",B,,Not Available,serie,titulo,tiny town,1,
TCL ADS - Springserve,Argentina,mxgp: against all odds,94560,tt29519358,tvMiniSeries,Sport,A,,Not Available,serie,imdb,mxgp: against all odds,,
METAX SOFTWARE PTE. LTD. (Exchange),Colombia,grudge talk,94080,tt31709881,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge talk,,
TCL ADs (APAC),Mexico,voyage of the continents: s1. voyage of the continents,93280,tt3696480,tvMiniSeries,"Documentary,History",A,drama,Not Available,serie,imdb,voyage of the continents,1,
Vidaa,Guatemala,like la leyenda,92640,tt9001656,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,like la leyenda,,
TCL ADS - Springserve,Mexico,tiny%20trucks%20season%201,92160,tt7821952,tvSeries,"Animation,Family",A,,Not Available,serie,imdb,tiny%20trucks%20season%201,,
OTTera.tv,Ecuador,notorious%3a%20trailer,92000,tt5519574,tvSeries,"Drama,Thriller",B,,Not Available,serie,imdb,notorious%3a%20trailer,,
OTTera.tv,El Salvador,st. urbain's horseman,91680,tt0830165,tvMiniSeries,Drama,A,,Not Available,serie,imdb,st. urbain's horseman,,
OTTera.tv,Colombia,bump,90000,tt13751472,tvSeries,"Comedy,Drama,Romance",B,,Not Available,serie,imdb,bump,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,una familia de diez,89360,tt0996011,tvSeries,"Comedy,Family,Romance",A,,Not Available,serie,imdb,una familia de diez,,
iion Pty Ltd,Mexico,purple devil season 1,89280,,,,,,Not Available,serie,titulo,purple devil,1,
iion Pty Ltd,Mexico,epic trails: s1. epic trails,88640,tt11169770,tvSeries,Adventure,A,,Not Available,serie,imdb,epic trails,1,
PML Digital,Colombia,notorious,88640,tt5519574,tvSeries,"Drama,Thriller",B,,Not Available,serie,imdb,notorious,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,porque el amor manda,88320,tt2401754,tvSeries,"Comedy,Drama",A,telenovela,Not Available,serie,imdb,porque el amor manda,,
OTTera.tv,Costa Rica,search party   season 3 official trailer   hbo max,88160,tt5460226,tvSeries,"Comedy,Crime,Drama",B,,Not Available,serie,titulo,search party,3,
Televisa Univision via SpringServe,Ecuador,amores verdaderos,88080,tt2320524,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,amores verdaderos,,
iion Pty Ltd,Mexico,miniforce  season 1,88000,tt9198020,tvSeries,"Action,Adventure,Animation",A,infantil-familia,Not Available,serie,titulo,miniforce,1,
"Seedtag Advertising, S.L. (ORTB)",Mexico,la fea mas bella,87760,tt0497152,tvSeries,"Comedy,Drama,Romance",A,telenovela,Not Available,serie,imdb,la fea mas bella,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,mi corazon es tuyo,87360,tt3825904,tvSeries,"Comedy,Romance",A,telenovela,Not Available,serie,imdb,mi corazon es tuyo,,
OTTera.tv,Colombia,test my ride,87360,tt2048653,tvSeries,,C,,Not Available,serie,intra_titulo,Test my Ride,,
OTTera.tv,Colombia,chicken stew season 7,87120,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,7,
OTTera.tv,Argentina,the hammer and the rose: a behzat ç. story - s2,86880,tt21095396,tvSeries,"Action,Crime,Drama",A,,Not Available,serie,imdb,the hammer and the rose: a behzat ç. story,2,
"VGI CTV, Inc APAC",Mexico,la familia p luche,86720,tt1244672,tvSeries,Comedy,A,,Not Available,serie,imdb,la familia p luche,,
